# Placeholder decision-screen type definitions for the Card Stacking Game.
# Format:
# type_id | card1_x,card1_y,card1_z | card2_x,card2_y,card2_z | card3_x,card3_y,card3_z | card4_x,card4_y,card4_z
#
# The number of non-comment rows must match session.config['num_screen_types'].
# Participants do not see this file and cannot set these values.
1 | 5,10,1 | 6,12,2 | 7,14,3 | 8,16,4
2 | 6,11,2 | 7,13,3 | 8,15,4 | 9,17,1
3 | 7,12,3 | 8,14,4 | 9,16,1 | 10,18,2
4 | 8,13,4 | 9,15,1 | 10,17,2 | 11,19,3
5 | 9,14,1 | 10,16,2 | 11,18,3 | 12,20,4
6 | 10,15,2 | 11,17,3 | 12,19,4 | 5,21,1
7 | 11,16,3 | 12,18,4 | 5,20,1 | 6,22,2
8 | 12,17,4 | 5,19,1 | 6,21,2 | 7,23,3
9 | 5,18,1 | 6,20,2 | 7,22,3 | 8,24,4
10 | 6,19,2 | 7,21,3 | 8,23,4 | 9,25,1
11 | 7,20,3 | 8,22,4 | 9,24,1 | 10,26,2
12 | 8,21,4 | 9,23,1 | 10,25,2 | 11,27,3
13 | 9,22,1 | 10,24,2 | 11,26,3 | 12,28,4
14 | 10,23,2 | 11,25,3 | 12,27,4 | 5,29,1
15 | 11,24,3 | 12,26,4 | 5,28,1 | 6,30,2
16 | 12,25,4 | 5,27,1 | 6,29,2 | 7,10,3
17 | 5,26,1 | 6,28,2 | 7,30,3 | 8,11,4
18 | 6,27,2 | 7,29,3 | 8,10,4 | 9,12,1
19 | 7,28,3 | 8,30,4 | 9,11,1 | 10,13,2
20 | 8,29,4 | 9,10,1 | 10,12,2 | 11,14,3
21 | 9,30,1 | 10,11,2 | 11,13,3 | 12,15,4
22 | 10,10,2 | 11,12,3 | 12,14,4 | 5,16,1
23 | 11,11,3 | 12,13,4 | 5,15,1 | 6,17,2
24 | 12,12,4 | 5,14,1 | 6,16,2 | 7,18,3
25 | 5,13,1 | 6,15,2 | 7,17,3 | 8,19,4
26 | 6,14,2 | 7,16,3 | 8,18,4 | 9,20,1
27 | 7,15,3 | 8,17,4 | 9,19,1 | 10,21,2
28 | 8,16,4 | 9,18,1 | 10,20,2 | 11,22,3
29 | 9,17,1 | 10,19,2 | 11,21,3 | 12,23,4
30 | 10,18,2 | 11,20,3 | 12,22,4 | 5,24,1
31 | 11,19,3 | 12,21,4 | 5,23,1 | 6,25,2
32 | 12,20,4 | 5,22,1 | 6,24,2 | 7,26,3
33 | 5,21,1 | 6,23,2 | 7,25,3 | 8,27,4
34 | 6,22,2 | 7,24,3 | 8,26,4 | 9,28,1
35 | 7,23,3 | 8,25,4 | 9,27,1 | 10,29,2
36 | 8,24,4 | 9,26,1 | 10,28,2 | 11,30,3
37 | 9,25,1 | 10,27,2 | 11,29,3 | 12,10,4
38 | 10,26,2 | 11,28,3 | 12,30,4 | 5,11,1
39 | 11,27,3 | 12,29,4 | 5,10,1 | 6,12,2
40 | 12,28,4 | 5,30,1 | 6,11,2 | 7,13,3
41 | 5,29,1 | 6,10,2 | 7,12,3 | 8,14,4
42 | 6,30,2 | 7,11,3 | 8,13,4 | 9,15,1
43 | 7,10,3 | 8,12,4 | 9,14,1 | 10,16,2
44 | 8,11,4 | 9,13,1 | 10,15,2 | 11,17,3
45 | 9,12,1 | 10,14,2 | 11,16,3 | 12,18,4
46 | 10,13,2 | 11,15,3 | 12,17,4 | 5,19,1
47 | 11,14,3 | 12,16,4 | 5,18,1 | 6,20,2
48 | 12,15,4 | 5,17,1 | 6,19,2 | 7,21,3
49 | 5,16,1 | 6,18,2 | 7,20,3 | 8,22,4
50 | 6,17,2 | 7,19,3 | 8,21,4 | 9,23,1
